Temperatura;Humedad;Altitud;Polvo;Latitud;Longitud;Sensor de Luz
21.30;60.00;3951.00;255;1000.00;1000.000.00;1
21.20;63.00;4494.00;255;1000.00;1000.000.00;1
21.30;62.00;4494.00;255;1000.00;1000.000.00;1
21.30;62.00;4487.00;255;1000.00;1000.000.00;1
21.30;61.00;4478.00;255;1000.00;1000.000.00;1
21.40;60.00;4469.00;255;1000.00;1000.000.00;1
21.40;59.00;4458.00;255;1000.00;1000.000.00;1
21.40;59.00;4448.00;255;1000.00;1000.000.00;1
21.40;59.00;4439.00;255;1000.00;1000.000.00;1
21.60;55.00;3890.00;255;1000.00;1000.000.00;1
21.60;55.00;4407.00;255;1000.00;1000.000.00;1
21.70;59.00;4405.00;255;1000.00;1000.000.00;1
21.60;57.00;4402.00;255;1000.00;1000.000.00;1
21.60;55.00;4399.00;255;1000.00;1000.000.00;1
21.60;55.00;4397.00;255;1000.00;1000.000.00;1
21.70;55.00;4394.00;255;1000.00;1000.000.00;1
21.90;54.00;3874.00;255;1000.00;1000.000.00;1
21.70;54.00;4382.00;255;1000.00;1000.000.00;1
21.80;55.00;4376.00;255;1000.00;1000.000.00;1
21.80;55.00;4370.00;255;1000.00;1000.000.00;1
21.80;55.00;4364.00;255;1000.00;1000.000.00;1
21.90;55.00;4359.00;255;1000.00;1000.000.00;1
21.80;55.00;4351.00;255;1000.00;1000.000.00;1
0.00;0.00;3818.00;255;1000.00;1000.000.00;1
23.50;48.00;4292.00;255;1000.00;1000.000.00;1
23.50;48.00;4268.00;255;1000.00;1000.000.00;1
23.60;47.00;4242.00;255;1000.00;1000.000.00;1
20.80;57.00;3942.00;255;1000.00;1000.000.00;0
20.80;59.00;4480.00;255;1000.00;1000.000.00;0
20.80;61.00;4477.00;255;1000.00;1000.000.00;0
20.80;60.00;4471.00;255;1000.00;1000.000.00;0
20.80;61.00;4466.00;255;1000.00;1000.000.00;0
20.90;61.00;4460.00;255;1000.00;1000.000.00;0
20.90;61.00;4456.00;255;1000.00;1000.000.00;0
20.90;61.00;4446.00;255;1000.00;1000.000.00;0
21.00;62.00;4435.00;255;1000.00;1000.000.00;0
21.10;62.00;4424.00;255;1000.00;1000.000.00;0
21.20;61.00;4415.00;255;1000.00;1000.000.00;0
21.30;59.00;4408.00;255;1000.00;1000.000.00;0
21.30;58.00;4402.00;255;1000.00;1000.000.00;0
21.40;57.00;4397.00;255;1000.00;1000.000.00;0
21.40;57.00;4391.00;255;1000.00;1000.000.00;0
21.40;58.00;4387.00;255;1000.00;1000.000.00;0
21.40;60.00;4385.00;255;1000.00;1000.000.00;0
21.50;61.00;4383.00;255;1000.00;1000.000.00;0
21.60;60.00;4378.00;255;1000.00;1000.000.00;0
21.70;57.00;4375.00;255;1000.00;1000.000.00;0
21.80;56.00;4369.00;255;1000.00;1000.000.00;0
21.90;54.00;4365.00;255;1000.00;1000.000.00;0
21.90;55.00;4363.00;255;1000.00;1000.000.00;0
21.90;55.00;4361.00;255;1000.00;1000.000.00;0
22.00;56.00;4360.00;255;1000.00;1000.000.00;0
21.90;55.00;4357.00;255;1000.00;1000.000.00;0
22.00;57.00;4355.00;255;1000.00;1000.000.00;0
22.00;56.00;4353.00;255;1000.00;1000.000.00;0
22.00;56.00;4351.00;255;1000.00;1000.000.00;0
22.00;56.00;4348.00;255;1000.00;1000.000.00;0
22.00;56.00;4348.00;255;1000.00;1000.000.00;0
22.00;57.00;4348.00;255;1000.00;1000.000.00;0
21.90;55.00;4347.00;255;1000.00;1000.000.00;0
21.90;56.00;4348.00;255;1000.00;1000.000.00;0
21.90;56.00;4348.00;255;1000.00;1000.000.00;0
21.90;56.00;4348.00;255;1000.00;1000.000.00;0
21.90;55.00;4349.00;255;1000.00;1000.000.00;0
21.90;56.00;4349.00;255;1000.00;1000.000.00;0
21.80;56.00;4348.00;255;1000.00;1000.000.00;0
21.80;56.00;4348.00;255;1000.00;1000.000.00;0
21.80;57.00;4349.00;255;1000.00;1000.000.00;0
21.80;57.00;4349.00;255;1000.00;1000.000.00;0
21.70;55.00;4350.00;255;1000.00;1000.000.00;0
21.70;55.00;4351.00;255;1000.00;1000.000.00;0
21.70;56.00;4352.00;255;1000.00;1000.000.00;0
21.50;57.00;4352.00;255;1000.00;1000.000.00;0
21.50;57.00;4353.00;255;1000.00;1000.000.00;0
21.50;58.00;4353.00;255;1000.00;1000.000.00;0
21.50;58.00;4353.00;255;1000.00;1000.000.00;0
21.50;58.00;4356.00;255;1000.00;1000.000.00;0
21.40;58.00;4357.00;255;1000.00;1000.000.00;0
21.40;58.00;4357.00;255;1000.00;1000.000.00;0
21.40;58.00;4360.00;255;1000.00;1000.000.00;0
21.30;58.00;4361.00;255;1000.00;1000.000.00;0
21.30;58.00;4362.00;255;1000.00;1000.000.00;0
21.20;58.00;4362.00;255;1000.00;1000.000.00;0
21.20;59.00;4364.00;255;1000.00;1000.000.00;0
21.10;59.00;4364.00;255;1000.00;1000.000.00;0
21.10;59.00;4365.00;255;1000.00;1000.000.00;0
21.00;59.00;4367.00;255;1000.00;1000.000.00;0
21.00;60.00;4369.00;255;1000.00;1000.000.00;0
21.00;60.00;4371.00;255;1000.00;1000.000.00;0
20.90;59.00;4373.00;255;1000.00;1000.000.00;0
20.80;58.00;4375.00;255;1000.00;1000.000.00;0
20.80;59.00;4379.00;255;1000.00;1000.000.00;0
20.70;59.00;4384.00;255;1000.00;1000.000.00;0
20.60;60.00;4387.00;255;1000.00;1000.000.00;0
20.50;60.00;4389.00;255;1000.00;1000.000.00;0
20.40;60.00;4392.00;255;1000.00;1000.000.00;0
20.40;61.00;4396.00;255;1000.00;1000.000.00;0
20.30;61.00;4398.00;255;1000.00;1000.000.00;0
20.30;61.00;4400.00;255;1000.00;1000.000.00;0
20.20;61.00;4403.00;255;1000.00;1000.000.00;0
20.20;61.00;4405.00;255;1000.00;1000.000.00;0
20.20;61.00;4408.00;255;1000.00;1000.000.00;0
20.20;60.00;4410.00;255;1000.00;1000.000.00;0
20.20;61.00;4413.00;255;1000.00;1000.000.00;0
20.20;60.00;4415.00;255;1000.00;1000.000.00;0
20.20;61.00;4416.00;255;1000.00;1000.000.00;0
20.20;61.00;4417.00;255;1000.00;1000.000.00;0
20.20;61.00;4419.00;255;1000.00;1000.000.00;0
20.20;61.00;4421.00;255;1000.00;1000.000.00;0
20.20;60.00;4421.00;255;1000.00;1000.000.00;0
20.20;61.00;4421.00;255;1000.00;1000.000.00;0
20.20;61.00;4423.00;255;1000.00;1000.000.00;0
20.20;61.00;4423.00;255;1000.00;1000.000.00;0
20.20;60.00;4425.00;255;1000.00;1000.000.00;0
20.20;61.00;4425.00;255;1000.00;1000.000.00;0
20.20;59.00;4424.00;255;1000.00;1000.000.00;0
20.20;58.00;4420.00;255;1000.00;1000.000.00;0
20.20;57.00;4418.00;255;1000.00;1000.000.00;0
20.30;58.00;4419.00;255;1000.00;1000.000.00;0
20.30;59.00;4419.00;255;1000.00;1000.000.00;0
20.30;59.00;4418.00;255;1000.00;1000.000.00;0
20.40;57.00;4419.00;255;1000.00;1000.000.00;0
20.40;58.00;4421.00;255;1000.00;1000.000.00;0
20.40;58.00;4420.00;255;1000.00;1000.000.00;0
20.50;58.00;4418.00;255;1000.00;1000.000.00;0
20.60;57.00;4417.00;255;1000.00;1000.000.00;0
20.60;57.00;4416.00;255;1000.00;1000.000.00;0
20.70;57.00;4413.00;255;1000.00;1000.000.00;0
20.80;58.00;4410.00;255;1000.00;1000.000.00;0
20.80;58.00;4406.00;255;1000.00;1000.000.00;0
20.90;58.00;4403.00;255;1000.00;1000.000.00;0
20.90;57.00;4404.00;255;1000.00;1000.000.00;0
20.90;58.00;4406.00;255;1000.00;1000.000.00;0
20.90;58.00;4405.00;255;1000.00;1000.000.00;0
20.90;58.00;4405.00;255;1000.00;1000.000.00;0
20.90;58.00;4403.00;255;1000.00;1000.000.00;0
20.90;58.00;4403.00;255;1000.00;1000.000.00;0
21.00;59.00;4403.00;255;1000.00;1000.000.00;0
21.00;60.00;4403.00;255;1000.00;1000.000.00;0
21.00;61.00;4403.00;255;1000.00;1000.000.00;0
21.00;60.00;4401.00;255;1000.00;1000.000.00;0
21.20;60.00;4400.00;255;1000.00;1000.000.00;0
21.20;60.00;4401.00;255;1000.00;1000.000.00;0
21.10;60.00;4400.00;255;1000.00;1000.000.00;0
21.10;59.00;4400.00;255;1000.00;1000.000.00;0
21.20;58.00;4400.00;255;1000.00;1000.000.00;0
21.10;58.00;4399.00;255;1000.00;1000.000.00;0
21.10;58.00;4397.00;255;1000.00;1000.000.00;0
21.20;58.00;4397.00;255;1000.00;1000.000.00;0
21.10;58.00;4397.00;255;1000.00;1000.000.00;0
21.10;58.00;4396.00;255;1000.00;1000.000.00;0
21.20;58.00;4395.00;255;1000.00;1000.000.00;0
21.20;58.00;4393.00;255;1000.00;1000.000.00;0
21.30;58.00;4390.00;255;1000.00;1000.000.00;0
21.40;58.00;4387.00;255;1000.00;1000.000.00;0
21.40;58.00;4382.00;255;1000.00;1000.000.00;0
21.40;58.00;4377.00;255;1000.00;1000.000.00;0
21.50;58.00;4371.00;255;1000.00;1000.000.00;0
21.60;58.00;4365.00;255;1000.00;1000.000.00;0
21.70;57.00;4362.00;255;1000.00;1000.000.00;0
21.80;57.00;4358.00;255;1000.00;1000.000.00;0
21.90;57.00;4354.00;255;1000.00;1000.000.00;0
21.80;55.00;4347.00;255;1000.00;1000.000.00;0
21.80;55.00;4341.00;255;1000.00;1000.000.00;0
21.70;55.00;4336.00;255;1000.00;1000.000.00;0
21.70;54.00;4335.00;255;1000.00;1000.000.00;0
21.70;53.00;4333.00;255;1000.00;1000.000.00;0
21.60;53.00;4331.00;255;1000.00;1000.000.00;0
21.50;53.00;4331.00;255;1000.00;1000.000.00;0
21.60;53.00;4329.00;255;1000.00;1000.000.00;0
21.60;54.00;4327.00;255;1000.00;1000.000.00;0
21.60;53.00;4326.00;255;1000.00;1000.000.00;0
21.60;55.00;4326.00;255;1000.00;1000.000.00;0
21.60;55.00;4326.00;255;1000.00;1000.000.00;0
21.50;53.00;4325.00;255;1000.00;1000.000.00;0
21.50;54.00;4325.00;255;1000.00;1000.000.00;0
21.50;54.00;4322.00;255;1000.00;1000.000.00;0
